Unique ID;Player;Club;Best Pos;Age;Transfer Value;Preferred Foot;Appearances;Minutes;Goals;xG;Shots;ShT;Conv %;Goals per 90 minutes;xG/90;Drb/90
37055843;Matthijs de Ligt;Man Utd;D (C);26;€96M - €119M;Right-Footed;35;2955;1;0.5;8;4;13%;0.0;0.0;0.0
67276230;Nico Williams;A. Bilbao;AM (L);23;€76M - €114M;Right-Footed;41;3377;11;13.69;113;46;10%;0.3;0.4;3.2
24048100;Dani Olmo;Barcelona;AM (C);28;€50M - €77M;Right-Footed;10 (31);1426;6;5.61;45;21;13%;0.4;0.4;1.6
89056845;Ferran Torres;Barcelona;AM (L);26;€73M - €88M;Right-Footed;16 (30);2084;11;11.17;108;41;10%;0.5;0.5;1.0
83174762;Vitinha;Paris SG;DM;26;€221M - €289M;Right-Footed;45;3699;1;4.54;46;8;2%;0.0;0.1;0.2
93070286;Alexander Isak;Liverpool;ST (C);26;€159M - €196M;Right-Footed;47 (3);3567;23;15.97;137;72;17%;0.6;0.4;1.4
92026209;Hakan Çalhanoğlu;Blu-neri;DM;32;€53M - €64M;Right-Footed;43;3380;1;0.95;9;3;11%;0.0;0.0;0.2
53095137;Martin Ødegaard;Arsenal;M (C);27;€88M - €106M;Left-Footed;49;3833;6;7.35;57;25;11%;0.1;0.2;0.0
19273276;Éder Militão;R. Madrid;D (R);28;€57M - €85M;Right-Footed;49;4304;1;3.07;29;12;3%;0.0;0.1;0.1
20041862;Alphonso Davies;FC Bayern München;WB (L);25;€39M - €59M;Left-Footed;30;2626;2;2.18;23;7;9%;0.1;0.1;1.5
85094520;Mike Maignan;Casciavit;GK;30;€52M - €79M;Right-Footed;39;3380;0;0;0;0;0%;0.0;0.0;0.0
2000146882;Gustavo Sá;Borussia Dortmund;M (C);21;€59M - €88M;Right-Footed;14;1048;3;3.13;33;12;9%;0.3;0.3;0.9
83261910;Nuno Mendes;Paris SG;WB (L);23;Not for Sale;Left-Footed;47;4078;2;2.74;25;6;8%;0.0;0.1;1.2
43139595;Nicolò Barella;Blu-neri;M (C);29;€49M - €61M;Right-Footed;38;3147;2;3.38;27;13;7%;0.1;0.1;0.0
28066083;Serge Gnabry;FC Bayern München;AM (C);30;€38M - €47M;Right-Footed;20 (1);1466;7;4.44;35;16;20%;0.4;0.3;1.4
28060397;John Stones;Man City;D (C);32;€34M;Right-Footed;3 (7);402;0;0.45;4;0;0%;0.0;0.1;0.0
8718372;Manuel Neuer;FC Bayern München;GK;40;€0 - €120K;Right-Footed;19;1476;0;0;0;0;0%;0.0;0.0;0.0
89063073;Kim Min-Jae;FC Bayern München;D (C);29;€23M - €28M;Right-Footed;10 (4);1028;1;0.22;6;2;17%;0.1;0.0;0.0
67139735;Dani Carvajal;R. Madrid;D (R);34;€170K - €1.7M;Right-Footed;22 (1);1699;1;0.87;7;1;14%;0.1;0.0;0.4
14157184;Alexis Mac Allister;Liverpool;M (C);27;€67M - €100M;Right-Footed;45 (2);3606;2;1.32;16;4;13%;0.0;0.0;0.2
64016316;Jan Oblak;A. Madrid;GK;33;Not for Sale;Right-Footed;45;4080;0;0;0;0;0%;0.0;0.0;0.0
28104124;Trent Alexander-Arnold;R. Madrid;DM;27;€61M - €91M;Right-Footed;34 (11);2824;0;0.97;8;2;0%;0.0;0.0;0.6
49062667;Hugo Ekitiké;Liverpool;ST (C);23;€122M - €152M;Right-Footed;24 (21);2272;17;8.14;97;47;18%;0.7;0.3;1.5
43298481;Sandro Tonali;Newcastle;M (C);26;€78M - €91M;Right-Footed;49;4226;3;2.31;25;10;12%;0.1;0.0;0.0
92023410;Antonio Rüdiger;R. Madrid;D (R);33;€900K - €9.6M;Right-Footed;12;842;0;0.43;3;0;0%;0.0;0.0;0.2
91104807;Leon Goretzka;FC Bayern München;DM;31;€275K - €2.8M;Right-Footed;9 (16);1091;1;2.4;17;3;6%;0.1;0.2;0.2
19220266;Gabriel Jesus;Arsenal;ST (C);29;€43M - €62M;Right-Footed;9 (13);895;3;2.84;33;19;9%;0.3;0.3;1.2
37071197;Ryan Gravenberch;Liverpool;M (C);24;€119M - €143M;Right-Footed;54 (1);4223;1;1.79;25;6;4%;0.0;0.0;0.3
67271371;Rodrigo Zalazar;Juventus;AM (C);26;€68M - €85M;Right-Footed;20;1421;2;5.17;43;20;5%;0.1;0.3;2.0
67287665;Álex Baena;A. Madrid;AM (C);24;€113M - €135M;Right-Footed;40;3106;1;7.66;73;22;1%;0.0;0.2;2.6
2000115202;Désiré Doué;Paris SG;AM (R);20;€114M - €170M;Right-Footed;42;3349;9;9.54;78;35;12%;0.2;0.3;4.6
19242094;Gabriel;Arsenal;D (C);28;€90M - €134M;Left-Footed;50;4371;0;2.87;18;0;0%;0.0;0.1;0.1
85140301;Christopher Nkunku;Casciavit;AM (C);28;€47M - €56M;Right-Footed;7;436;3;2.34;20;7;15%;0.6;0.5;1.2
67200923;Unai Simón;A. Bilbao;GK;28;€115M - €143M;Right-Footed;43;3809;0;0;0;0;0%;0.0;0.0;0.0
67220143;Mikel Oyarzábal;Real San Sebastián;ST (C);29;€60M - €75M;Left-Footed;27 (1);1951;12;8;82;42;15%;0.6;0.4;0.6
98031331;Manuel Akanji;Blu-neri;D (C);30;€41M - €51M;Right-Footed;44;3758;1;1.53;16;6;6%;0.0;0.0;0.0
49056279;Rayan Cherki;Man City;AM (C);22;€215M - €236M;Uses Both Feet;50;3526;16;8.46;78;34;21%;0.4;0.2;4.2
37062185;Cody Gakpo;Liverpool;AM (L);27;€73M - €87M;Right-Footed;9 (38);1810;9;9.68;77;37;12%;0.4;0.5;3.4
37063644;Jurriën Timber;Arsenal;D (R);24;€73M - €109M;Right-Footed;41;3312;0;0.58;6;2;0%;0.0;0.0;1.3
18077264;Youri Tielemans;Aston Villa;M (C);29;€56M - €84M;Right-Footed;33;2309;1;2.15;18;5;6%;0.0;0.1;0.2
92088306;Nico Schlotterbeck;Borussia Dortmund;D (C);26;€50M - €74M;Left-Footed;36;3174;0;0.89;9;1;0%;0.0;0.0;0.0
83169226;Diogo Costa;FC Porto;GK;26;€44M - €66M;Right-Footed;51;4620;0;0;0;0;0%;0.0;0.0;0.0
19270493;Bremer;Juventus;D (C);29;€107M - €128M;Right-Footed;51;4512;5;2.82;24;8;21%;0.1;0.1;0.0
91119700;Jonathan Tah;FC Bayern München;D (C);30;€38M - €58M;Right-Footed;37;3302;1;0.22;5;2;20%;0.0;0.0;0.0
37025551;Nathan Aké;Man City;D (L);31;€25M - €30M;Left-Footed;10 (1);896;0;0;0;0;0%;0.0;0.0;0.4
43143488;Federico Dimarco;Blu-neri;D (L);28;€83M - €124M;Left-Footed;44;3379;0;0.17;2;0;0%;0.0;0.0;2.8
19297055;Bruno Guimarães;Newcastle;DM;28;€93M - €117M;Right-Footed;37 (1);3137;5;4.43;40;9;13%;0.1;0.1;0.1
28113828;Jeremie Frimpong;Liverpool;M (R);25;€48M - €72M;Right-Footed;30 (13);2912;3;1.82;17;6;18%;0.1;0.1;1.4
2000109240;Dean Huijsen;R. Madrid;D (C);21;€73M - €111M;Right-Footed;36 (4);3482;1;1.43;14;2;7%;0.0;0.0;0.0
48037822;Ibrahima Konaté;Liverpool;D (C);27;€53M - €79M;Right-Footed;42;3502;0;1.39;11;2;0%;0.0;0.0;0.1
24016925;Mateo Kovačić;Man City;M (C);32;€30M - €36M;Right-Footed;0 (11);211;1;0.36;4;2;25%;0.4;0.2;0.0
67288555;Xavi Simons;Spurs;AM (C);23;€81M - €102M;Right-Footed;45 (1);3865;8;13.84;106;36;8%;0.2;0.3;1.7
67216396;Fabián;Paris SG;M (C);30;€43M - €65M;Left-Footed;42 (3);3546;11;10.41;91;37;12%;0.3;0.3;0.1
14020367;Emiliano Martínez;Aston Villa;GK;33;Not for Sale;Right-Footed;55;5010;0;0;0;0;0%;0.0;0.0;0.0
67197145;Lucas Hernández;Paris SG;D (L);30;€33M - €39M;Left-Footed;12 (7);1239;0;0.12;3;0;0%;0.0;0.0;0.3
91205962;Omar Marmoush;Man City;AM (L);27;€51M - €75M;Right-Footed;13 (16);1320;7;5.47;61;32;11%;0.5;0.4;1.7
85086031;Adrien Rabiot;Casciavit;DM;31;€19M - €24M;Left-Footed;38 (1);3134;4;4.02;43;12;9%;0.1;0.1;0.0
2000049413;Gavi;Barcelona;DM;21;€111M - €133M;Right-Footed;11 (7);926;0;0.58;5;1;0%;0.0;0.1;0.1
93070271;Viktor Gyökeres;Arsenal;ST (C);27;€51M - €62M;Right-Footed;37 (11);3225;20;12.94;104;55;19%;0.6;0.4;0.8
85111795;Serhou Guirassy;Borussia Dortmund;ST (C);30;€53M - €66M;Right-Footed;38 (1);2265;10;10.57;118;64;8%;0.4;0.4;0.8
67196198;Marcos Llorente;A. Madrid;D (R);31;€55M - €82M;Right-Footed;39 (2);3512;0;0.39;8;2;0%;0.0;0.0;0.7
19351309;Gabriel Martinelli;Arsenal;AM (L);24;€109M - €130M;Right-Footed;50;3660;13;12.14;103;38;13%;0.3;0.3;3.9
2000141742;Fermín;Barcelona;AM (C);23;€52M - €78M;Right-Footed;49 (2);3645;12;10.41;89;49;13%;0.3;0.3;1.5
67246385;Martín Zubimendi;Arsenal;DM;27;€68M - €82M;Right-Footed;17 (33);1963;1;1.04;17;8;6%;0.0;0.0;0.1
55041623;João Cancelo;Barcelona;D (L);32;€38M - €47M;Right-Footed;8 (11);869;0;0.06;2;1;0%;0.0;0.0;1.7
2000171034;Aleksandar Pavlović;FC Bayern München;DM;22;€108M - €162M;Right-Footed;42 (2);3294;1;1.72;17;7;6%;0.0;0.0;0.2
43161651;Federico Chiesa;Liverpool;AM (L);28;€51M - €63M;Right-Footed;48 (3);3315;7;5.22;54;22;13%;0.2;0.1;3.5
28054565;Jordan Pickford;Everton;GK;32;Not for Sale;Left-Footed;34;3027;0;0;0;0;0%;0.0;0.0;0.0
14044150;Paulo Dybala;AS Roma;AM (C);32;€11.5M;Left-Footed;38 (7);2376;6;11.02;70;27;9%;0.2;0.4;1.6
67086656;Antoine Griezmann;A. Madrid;AM (C);35;€500K - €9.2M;Left-Footed;7 (1);443;2;2.54;20;10;10%;0.4;0.5;1.4
28116427;Eric García;Barcelona;DM;25;€55M - €68M;Right-Footed;39 (3);3420;1;0.43;9;2;11%;0.0;0.0;0.2
67103537;Isco;Real Hispalis;AM (C);34;Not for Sale;Right-Footed;28;2044;8;4.33;44;21;18%;0.4;0.2;1.1
49038952;Khéphren Thuram;Juventus;M (C);25;€81M - €122M;Right-Footed;46;3817;7;6.56;70;20;10%;0.2;0.2;0.1
2000030130;João Neves;Paris SG;M (C);21;€82M - €122M;Right-Footed;46 (2);3635;10;7.47;70;36;14%;0.2;0.2;0.1
14004589;Nicolás Otamendi;Benfica;D (C);38;€7.6M - €9.2M;Right-Footed;50;4550;2;3.05;21;2;10%;0.0;0.1;0.0
83209468;Gonçalo Ramos;Paris SG;ST (C);24;€51M - €76M;Right-Footed;30 (9);2692;20;11.2;113;60;18%;0.7;0.4;0.8
69000199;Yann Sommer;Blu-neri;GK;37;€1.1M - €5.4M;Right-Footed;48;4320;0;0;0;0;0%;0.0;0.0;0.0
48037162;Robin Le Normand;A. Madrid;D (C);29;€39M - €58M;Right-Footed;44;3742;0;0.48;2;1;0%;0.0;0.0;0.1
85045409;Raphaël Guerreiro;FC Bayern München;M (C);32;€1.1M - €2.3M;Left-Footed Only;20 (13);1866;0;0.65;4;1;0%;0.0;0.0;1.2
28100266;Marcus Rashford;Barcelona;AM (L);28;€48M - €71M;Right-Footed;7 (12);770;1;3.02;29;7;3%;0.1;0.4;1.9
62182055;Dušan Vlahović;Juventus;ST (C);26;€52M - €65M;Left-Footed;47 (2);4050;26;15.51;140;78;19%;0.6;0.3;0.4
14110846;Exequiel Palacios;Bayer 04 Leverkusen;M (C);27;€46M - €68M;Right-Footed;38 (2);2941;0;2.06;18;6;0%;0.0;0.1;0.3
19061518;Casemiro;Man Utd;DM;34;€300K - €8.2M;Right-Footed;34 (1);2202;1;0.62;10;3;10%;0.0;0.0;0.1
35017428;Marc-André ter Stegen;Girona;GK;34;€8.8M - €13M;Right-Footed;18;1581;0;0;0;0;0%;0.0;0.0;0.0
37052843;Denzel Dumfries;Blu-neri;D (R);30;€67M - €83M;Right-Footed;34 (3);2856;2;2.36;24;5;8%;0.1;0.1;3.1
18054004;Leandro Trossard;Arsenal;AM (L);31;€32M - €45M;Right-Footed;2 (34);972;6;5.14;39;24;15%;0.6;0.5;3.4
2000011972;Savinho;Man City;AM (L);22;€44M - €66M;Left-Footed Only;8 (40);1769;8;8.11;59;23;14%;0.4;0.4;3.6
28113827;Felix Nmecha;Man City;M (C);25;€111M - €138M;Right-Footed Only;3 (8);389;1;0.74;10;4;10%;0.2;0.2;0.0
16202373;Dominik Szoboszlai;Liverpool;M (C);25;€69M - €83M;Right-Footed;8 (17);904;4;3.81;29;14;14%;0.4;0.4;1.5
14129337;Nahuel Molina;A. Madrid;D (R);28;€36M - €44M;Right-Footed;15 (2);1319;1;0.17;5;1;20%;0.1;0.0;0.5
27066387;Andreas Christensen;Barcelona;D (C);30;€30M - €37M;Right-Footed;42 (2);3442;0;0.4;3;0;0%;0.0;0.0;0.0
29111433;David Raya;Arsenal;GK;30;€56M - €66M;Right-Footed;45;4025;0;0;0;0;0%;0.0;0.0;0.0
91151081;Kai Havertz;Arsenal;AM (C);26;€70M - €84M;Left-Footed;14 (5);1188;9;4.5;48;28;19%;0.7;0.3;0.3
28009441;Kyle Walker;Burnley;D (R);36;€2.6M - €5.2M;Right-Footed;44;3887;3;0.9;13;5;23%;0.1;0.0;0.6
14130029;Cristian Romero;Spurs;D (C);28;€72M - €84M;Right-Footed;44;3775;0;1.71;14;2;0%;0.0;0.0;0.1
43295814;Dejan Kulusevski;Spurs;AM (R);26;€94M - €140M;Left-Footed;9;827;3;2.61;20;8;15%;0.3;0.3;2.4
55063493;Rafa;Benfica;AM (L);33;Not for Sale;Right-Footed;27 (7);1775;10;3.81;48;28;21%;0.5;0.2;2.6
37071126;Tijjani Reijnders;Man City;M (C);27;€42M;Right-Footed;4 (16);593;1;1.2;11;3;9%;0.2;0.2;0.2
92074020;Christian Pulisic;Casciavit;AM (R);27;€51M - €78M;Right-Footed;39 (1);2684;14;10.61;95;46;15%;0.5;0.4;0.7
48043873;Randal Kolo Muani;Spurs;ST (C);27;€20M - €24M;Right-Footed;42;3026;13;11.5;110;53;12%;0.4;0.3;1.0
18007344;Romelu Lukaku;Parthenope;ST (C);33;€15M - €22M;Left-Footed;15 (1);1231;8;3.93;52;24;15%;0.6;0.3;0.4
78085068;Ronald Araujo;Barcelona;D (R);27;€33M - €50M;Right-Footed;42;3538;1;1.86;16;2;6%;0.0;0.0;0.0
43424738;Riccardo Calafiori;Arsenal;D (L);24;€84M - €126M;Left-Footed;26 (9);2402;1;1.02;9;3;11%;0.0;0.0;0.9
37084591;Micky van de Ven;Spurs;D (C);25;€74M - €90M;Left-Footed;46;3932;3;2.32;18;4;17%;0.1;0.1;0.4
67153376;Alejandro Grimaldo;Bayer 04 Leverkusen;D (L);30;€43M - €64M;Left-Footed;42 (1);3816;0;3.15;17;0;0%;0.0;0.1;3.3
28126242;James Trafford;Man City;GK;23;€14M - €20M;Right-Footed;15;1300;0;0;0;0;0%;0.0;0.0;0.0
29156522;Ebere Eze;Arsenal;AM (C);27;€25M - €36M;Right-Footed;44 (2);3013;7;5.53;51;16;14%;0.2;0.2;0.5
16010162;David Alaba;R. Madrid;D (L);33;€130K - €1.3M;Left-Footed;9 (9);790;0;0.22;5;1;0%;0.0;0.0;0.0
98040383;Gregor Kobel;Borussia Dortmund;GK;28;€46M - €57M;Right-Footed Only;41;3690;0;0;0;0;0%;0.0;0.0;0.0
48043084;Boubacar Kamara;Aston Villa;DM;26;€68M - €97M;Right-Footed;46;3603;1;2.63;22;4;5%;0.0;0.1;0.2
91190673;Josip Stanišić;FC Bayern München;D (C);26;€34M - €41M;Right-Footed;31 (2);2239;0;0.99;9;1;0%;0.0;0.0;0.4
28009478;Wojciech Szczęsny;Barcelona;GK;36;€130K - €1.3M;Right-Footed;7;630;0;0;0;0;0%;0.0;0.0;0.0
67172040;Ayoze Pérez;Villarreal;ST (C);32;Not for Sale;Right-Footed;39 (2);3316;13;17.12;125;58;10%;0.4;0.5;0.6
2000032706;Álvaro Carreras;R. Madrid;D (L);23;€48M - €72M;Left-Footed;28 (8);2707;0;1.31;9;0;0%;0.0;0.0;0.8
83188780;Matheus Nunes;Man City;M (C);27;€48M - €73M;Right-Footed;51 (1);4514;3;4.12;37;13;8%;0.1;0.1;0.8
85133751;Ferland Mendy;R. Madrid;D (L);30;€10M;Left-Footed;0 (13);327;0;0.03;1;0;0%;0.0;0.0;0.6
24060473;Joško Gvardiol;Man City;D (C);24;€117M - €140M;Left-Footed;52;4588;2;1.68;12;4;17%;0.0;0.0;1.0
29076105;Luke Shaw;Man Utd;D (L);30;€71M - €83M;Left-Footed;30;2346;0;0.07;2;0;0%;0.0;0.0;1.1
67277675;Joan García;Barcelona;GK;25;€36M - €45M;Right-Footed;50;4560;0;0;0;0;0%;0.0;0.0;0.0
16147659;Konrad Laimer;FC Bayern München;DM;29;€30M - €38M;Right-Footed;37 (11);3359;0;1.48;12;2;0%;0.0;0.0;0.4
2000125958;Pablo Barrios;A. Madrid;M (C);22;€127M - €190M;Right-Footed;39 (2);3228;0;2.01;21;4;0%;0.0;0.1;0.1
67030171;David De Gea;Fiorentina;GK;35;Not for Sale;Right-Footed;47;4230;0;0;0;0;0%;0.0;0.0;0.0
61043456;Andrew Robertson;Liverpool;D (L);32;€150K - €1.5M;Left-Footed Only;49;4392;0;0.75;2;0;0%;0.0;0.0;0.9
78060464;José Giménez;A. Madrid;D (C);31;€18M - €27M;Right-Footed;28;2133;0;0.2;4;0;0%;0.0;0.0;0.1
18083611;Dodi Lukébakio;Benfica;AM (R);28;€40M - €50M;Left-Footed;48 (3);3635;15;11.86;96;50;16%;0.4;0.3;3.7
86075795;Willian Pacho;Paris SG;D (C);24;€90M - €112M;Left-Footed;53;4673;2;2.14;25;6;8%;0.0;0.0;0.1
29141472;Benjamin White;Arsenal;D (R);28;€50M - €71M;Right-Footed;17 (11);1864;0;0.83;5;3;0%;0.0;0.0;0.7
37076092;Noni Madueke;Arsenal;AM (R);24;€64M - €96M;Left-Footed;11 (19);1096;3;5.3;50;26;6%;0.2;0.4;5.1
67211760;Mikel Merino;Arsenal;M (C);29;€15M - €23M;Left-Footed;17 (27);2309;8;3.23;40;18;20%;0.3;0.1;0.0
7458272;Sergio Ramos;Brest;D (C);40;€150K - €1.5M;Right-Footed;2 (4);274;0;0.04;2;0;0%;0.0;0.0;0.0
28115788;Curtis Jones;Liverpool;M (C);25;€31M - €46M;Right-Footed;22 (21);1858;2;1.57;11;4;18%;0.1;0.1;0.1
2000296497;Pau Cubarsí;Barcelona;D (C);19;€111M - €133M;Right-Footed;10 (9);1431;0;0.21;4;0;0%;0.0;0.0;0.1
85120944;Benjamin Pavard;Olympique de Marseille;D (C);30;€18.5M - €28M;Right-Footed;45;4010;1;3.08;26;3;4%;0.0;0.1;0.0
16279486;Karim Adeyemi;Borussia Dortmund;AM (L);24;€34M - €51M;Left-Footed;8 (11);598;1;1.77;14;6;7%;0.2;0.3;1.8
34000647;Olivier Giroud;LOSC;ST (C);39;€160K - €1.6M;Left-Footed;18 (19);1786;9;7.53;68;30;13%;0.5;0.4;0.7
28116386;Anthony Gordon;Newcastle;AM (L);25;€74M - €111M;Right-Footed;41;3289;15;9.96;97;48;15%;0.4;0.3;4.3
28018613;Kieran Trippier;Newcastle;D (R);35;€5.4M - €9.8M;Right-Footed;48;4202;2;1.65;16;5;13%;0.0;0.0;0.7
98041215;Rubén Vargas;Sevilla;AM (L);27;€33M - €41M;Right-Footed;34;2114;3;6.02;48;19;6%;0.1;0.3;2.6
67245235;Fran García;R. Madrid;D (L);26;€26M;Left-Footed;0 (2);22;0;0;0;0;0%;0.0;0.0;0.0
28106999;Brahim Díaz;R. Madrid;AM (L);26;€30M - €37M;Right-Footed;9 (21);1093;1;4.34;38;20;3%;0.1;0.4;4.0
45111891;Kaoru Mitoma;Brighton;AM (L);29;€63M - €77M;Right-Footed;39;3080;10;7.32;80;31;13%;0.3;0.2;3.6
2000138835;Kenan Yıldız;Juventus;AM (L);21;€75M - €94M;Right-Footed;46;3323;10;9.19;101;41;10%;0.3;0.2;3.3
29125343;Scott McTominay;Parthenope;DM;29;€82M - €103M;Right-Footed;41 (3);3644;12;10.65;99;40;12%;0.3;0.3;1.2
85078880;Clément Lenglet;A. Madrid;D (C);30;€27M;Left-Footed;2 (5);332;0;0;0;0;0%;0.0;0.0;0.3
